Id,SalePrice
1461,137563.20666331626
1462,159838.7013795715
1463,175786.83609985196
1464,191355.2593409273
1465,180236.06078688952
1466,170743.96166159803
1467,180484.22270984296
1468,160055.83892138323
1469,184397.0413313094
1470,121105.27574304254
1471,201434.4764660059
1472,123641.45796977342
1473,120588.48850603585
1474,161395.5518275958
1475,128217.87419807572
1476,313013.3257673028
1477,221009.35621388676
1478,251457.86093794848
1479,247006.93473126992
1480,461575.5895901824
1481,297010.3802848748
1482,192765.1908500173
1483,173802.4286653657
1484,166129.22694175676
1485,180229.61844360505
1486,193955.97636009648
1487,345089.6157008809
1488,235420.6126032936
1489,189341.22581923642
1490,239511.39261982846
1491,198479.39696896676
1492,103516.37617511136
1493,186272.99193075224
1494,294713.6282635234
1495,308297.8263562708
1496,234287.02586524253
1497,163077.48015026495
1498,141567.00442560346
1499,142738.39066079422
1500,139931.57086697983
1501,184262.9348353555
1502,166398.89595270428
1503,221120.6650178945
1504,250366.8377501989
1505,230692.82748528194
1506,194595.50441402657
1507,259364.11586261858
1508,195430.91712924663
1509,159820.19830987402
1510,141984.90752493046
1511,147258.51377592256
1512,175517.67497597897
1513,123239.75146086022
1514,176587.00066175847
1515,195796.26037231935
1516,151475.52879378365
1517,169646.1625546327
1518,159929.8276339603
1519,215928.02008202442
1520,125664.72765022132
1521,129016.09486827746
1522,174910.79716892046
1523,107978.71739695851
1524,121691.43168736807
1525,118296.04148196055
1526,118884.78108957947
1527,103935.83122680637
1528,143716.36033816234
1529,137547.65163244677
1530,178332.90759270906
1531,127380.39636648995
1532,105595.54284556696
1533,153932.37733413244
1534,138272.7270609314
1535,165064.42864813545
1536,117908.55812182474
1537,72970.26193980781
1538,170678.86342633603
1539,209599.63961338167
1540,125126.46533213525
1541,148884.84391654923
1542,159020.98708887436
1543,185274.8498847692
1544,97753.98985174576
1545,128732.70429893411
1546,141505.30765005047
1547,146263.2417335601
1548,141535.77590558477
1549,130717.36380843881
1550,138712.37680022253
1551,122042.91650753639
1552,140231.28580675923
1553,151679.84913663095
1554,134286.56523142516
1555,171334.66732458054
1556,87611.39119383557
1557,105206.48623982597
1558,104867.52770245259
1559,98177.03372411647
1560,146613.8789293316
1561,134699.33041291844
1562,130193.16166740184
1563,117898.78034868218
1564,174268.31410700956
1565,145676.81898521155
1566,227658.03310156596
1567,85571.82679835803
1568,225127.04498437935
1569,130666.88004336627
1570,141939.8761411232
1571,123960.18111391079
1572,145938.42276244168
1573,229390.5528085166
1574,118737.79293007149
1575,223938.99183966315
